This file was created using the 202002 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 prior return portfolios in Developed.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  Prior return is from -12 to - 2.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
200202  ,-2.85   ,2.00   ,1.81  ,-3.49   ,1.87   ,1.83
200203   ,6.18   ,4.78   ,5.74   ,8.90   ,5.26   ,4.22
200204  ,-0.93   ,3.27   ,3.81  ,-3.03   ,1.09   ,2.28
200205   ,0.47   ,4.11   ,4.78  ,-1.15   ,1.89   ,1.67
200206  ,-7.33  ,-0.98  ,-0.58 ,-10.40  ,-3.65  ,-2.78
200207 ,-10.23  ,-6.01  ,-7.28 ,-11.37  ,-8.64  ,-7.89
200208  ,-1.72  ,-0.13   ,1.18  ,-1.02   ,0.78   ,0.79
200209 ,-12.45  ,-6.21  ,-4.99 ,-15.79  ,-7.78  ,-5.02
200210   ,2.46  ,-0.09   ,0.96   ,7.11   ,2.80   ,2.34
200211  ,10.33   ,2.41   ,2.76  ,13.89   ,4.36   ,1.85
200212  ,-4.12   ,1.06   ,3.21  ,-8.81  ,-1.82   ,0.67
200301   ,0.99   ,1.24   ,2.61  ,-2.01  ,-2.29  ,-1.17
200302  ,-3.07  ,-0.06   ,0.39  ,-4.42  ,-1.25   ,0.14
200303  ,-2.60  ,-0.70  ,-0.12  ,-1.85   ,0.15   ,0.53
200304  ,12.66   ,6.45   ,5.64  ,13.47   ,8.04   ,6.98
200305  ,16.25   ,8.85   ,8.16  ,11.26   ,7.00   ,6.63
200306   ,8.19   ,6.11   ,4.16   ,3.86   ,1.79   ,1.76
200307   ,7.62   ,3.43   ,4.44   ,5.24   ,2.39   ,1.70
200308   ,9.01   ,5.21   ,7.59   ,5.67   ,4.08   ,4.18
200309   ,8.85   ,7.16   ,7.10   ,1.98   ,2.44   ,1.97
200310   ,5.65   ,6.33   ,9.26   ,4.99   ,6.31   ,9.92
200311   ,2.03   ,2.22   ,2.24   ,2.01   ,2.08   ,2.12
200312   ,4.17   ,4.95   ,5.00   ,6.05   ,4.83   ,3.48
200401   ,7.21   ,5.93   ,9.73   ,2.46   ,2.21   ,3.98
200402   ,3.03   ,2.50   ,3.29   ,2.58   ,2.85   ,1.75
200403   ,1.22   ,4.05   ,2.57   ,1.22   ,1.60   ,2.01
200404  ,-3.02  ,-1.97  ,-4.18  ,-1.26  ,-2.90  ,-4.45
200405  ,-1.91  ,-0.91  ,-2.16   ,0.79   ,0.83   ,0.91
200406   ,0.71   ,3.46   ,3.61   ,2.50   ,3.12   ,4.38
200407  ,-3.12  ,-2.56  ,-3.75  ,-4.35  ,-3.49  ,-5.40
200408  ,-1.22   ,0.33   ,0.40   ,0.28   ,0.54   ,0.52
200409   ,2.95   ,3.25   ,3.85   ,1.81   ,2.95   ,4.76
200410   ,3.37   ,3.71   ,4.33   ,3.61   ,3.01   ,2.24
200411   ,8.24   ,7.10   ,8.72   ,6.05   ,6.48   ,7.77
200412   ,3.29   ,4.13   ,4.61   ,4.39   ,4.45   ,3.79
200501   ,0.32   ,1.67   ,3.14  ,-2.16  ,-0.93   ,0.01
200502   ,3.22   ,4.38   ,5.86   ,2.46   ,3.22   ,4.56
200503  ,-3.08  ,-0.87  ,-0.72  ,-1.69  ,-1.36  ,-1.91
200504  ,-4.29  ,-2.32  ,-2.41  ,-3.91  ,-2.51  ,-3.09
200505  ,-1.55  ,-0.71  ,-0.76   ,1.84   ,1.71   ,2.54
200506   ,1.24   ,2.70   ,3.77   ,1.05   ,1.91   ,3.71
200507   ,4.48   ,3.91   ,5.41   ,3.96   ,3.69   ,4.99
200508   ,1.84   ,2.81   ,4.40   ,1.15   ,1.34   ,3.51
200509   ,1.60   ,2.06   ,3.26   ,0.84   ,2.78   ,4.70
200510  ,-3.38  ,-1.66  ,-2.33  ,-2.50  ,-2.44  ,-4.11
200511   ,0.73   ,2.49   ,2.75   ,3.46   ,3.88   ,3.88
200512   ,3.09   ,4.74   ,5.99   ,3.39   ,3.71   ,4.70
200601   ,7.95   ,6.79   ,9.55   ,4.64   ,4.90   ,8.71
200602   ,0.35   ,0.21   ,0.93   ,0.54   ,0.40  ,-1.50
200603   ,3.33   ,4.12   ,5.86   ,2.69   ,3.24   ,5.29
200604   ,4.80   ,4.44   ,6.48   ,3.16   ,2.99   ,4.26
200605  ,-4.35  ,-4.47  ,-5.72  ,-2.70  ,-4.14  ,-6.25
200606  ,-2.86  ,-1.37  ,-3.08  ,-0.64  ,-0.25  ,-0.67
200607  ,-2.01  ,-0.66  ,-0.23  ,-1.03  ,-0.38  ,-2.37
200608   ,2.53   ,2.50   ,2.87   ,3.91   ,3.10   ,1.59
200609  ,-0.76  ,-0.20   ,0.05   ,1.58   ,1.11   ,0.29
200610   ,3.34   ,3.49   ,5.46   ,3.94   ,3.44   ,4.68
200611   ,3.26   ,3.43   ,4.86   ,3.36   ,3.16   ,3.66
200612   ,1.51   ,2.33   ,3.65   ,1.15   ,2.38   ,2.88
200701   ,3.80   ,3.27   ,4.67   ,2.19   ,1.76   ,2.48
200702   ,2.07   ,2.18   ,2.17   ,0.85   ,0.81   ,0.94
200703   ,1.62   ,2.60   ,5.02   ,1.86   ,2.57   ,3.71
200704   ,3.25   ,3.87   ,7.89   ,3.53   ,3.96   ,4.15
200705   ,1.86   ,2.96   ,5.12   ,2.77   ,2.62   ,3.06
200706   ,1.81   ,2.24   ,4.20  ,-0.60  ,-0.81  ,-0.65
200707  ,-0.59   ,0.18   ,3.03  ,-2.89  ,-1.93  ,-0.84
200708  ,-5.59  ,-5.14  ,-7.70  ,-1.55  ,-1.14  ,-1.98
200709   ,1.48   ,2.91   ,6.43   ,2.06   ,3.89   ,6.20
200710   ,2.05   ,3.43   ,6.33   ,2.33   ,3.36   ,5.13
200711  ,-7.62  ,-5.59  ,-7.82  ,-5.79  ,-4.44  ,-6.28
200712  ,-3.62  ,-1.75  ,-1.68  ,-3.11  ,-1.44  ,-0.93
200801  ,-6.49  ,-6.50 ,-10.26  ,-5.14  ,-6.89  ,-9.30
200802   ,2.03   ,2.72   ,4.58  ,-1.91   ,1.62   ,3.33
200803  ,-5.19  ,-1.69  ,-3.27  ,-1.96  ,-0.42  ,-1.31
200804   ,2.24   ,1.55   ,2.77   ,5.53   ,4.25   ,5.05
200805   ,3.90   ,2.61   ,3.79   ,1.53   ,2.67   ,4.31
200806  ,-9.19  ,-5.11  ,-3.23 ,-13.71  ,-8.24  ,-2.91
200807  ,-4.81  ,-2.83  ,-4.58  ,-1.84  ,-1.81  ,-5.80
200808  ,-5.95  ,-4.20  ,-5.88   ,0.49  ,-1.51  ,-3.52
200809 ,-16.00 ,-11.15 ,-12.73 ,-14.05 ,-12.06 ,-15.16
200810 ,-27.87 ,-19.96 ,-20.34 ,-24.95 ,-21.41 ,-19.50
200811 ,-10.24  ,-6.24  ,-4.50  ,-9.22  ,-4.86  ,-4.87
200812   ,5.61   ,5.26   ,6.02   ,7.17   ,6.04   ,3.57
200901  ,-1.22  ,-5.16  ,-5.59  ,-8.61  ,-8.41  ,-6.55
200902  ,-8.02  ,-7.84  ,-6.90 ,-10.29  ,-9.71  ,-8.78
200903  ,11.73   ,4.70   ,4.16  ,13.84   ,7.35   ,3.86
200904  ,27.66  ,11.44   ,5.69  ,26.52  ,12.60   ,4.04
200905  ,24.57  ,14.17  ,10.76  ,14.88   ,9.80   ,6.02
200906   ,2.46   ,2.80   ,2.58  ,-1.00   ,0.16   ,1.43
200907   ,8.86   ,5.84   ,6.27  ,11.10   ,8.36   ,6.53
200908  ,10.81   ,4.89   ,3.46   ,8.43   ,4.32   ,2.21
200909   ,8.75   ,5.42   ,5.10   ,6.91   ,4.73   ,4.54
200910  ,-0.39  ,-0.42  ,-0.64  ,-3.75  ,-2.46  ,-2.78
200911   ,0.31   ,0.62   ,1.73   ,2.59   ,2.99   ,4.02
200912   ,0.11   ,0.65   ,1.84   ,1.62   ,2.61   ,4.05
201001   ,0.66   ,0.70   ,0.27  ,-1.74  ,-2.73  ,-4.16
201002  ,-0.86   ,0.39   ,1.09   ,0.70   ,1.85   ,2.67
201003   ,3.75   ,6.20   ,7.77   ,4.95   ,6.69   ,9.32
201004   ,3.86   ,4.42   ,6.18   ,0.80   ,1.33   ,2.60
201005 ,-10.84  ,-9.87 ,-11.39  ,-9.57  ,-8.98  ,-9.99
201006  ,-3.06  ,-1.22  ,-3.16  ,-3.09  ,-2.41  ,-4.93
201007   ,7.69   ,6.81   ,7.86   ,8.31   ,7.80   ,9.17
201008  ,-3.89  ,-2.86  ,-2.76  ,-4.94  ,-3.80  ,-3.01
201009  ,10.84   ,9.65  ,12.32  ,10.23  ,10.58  ,12.04
201010   ,3.96   ,3.87   ,4.61   ,3.67   ,3.79   ,4.31
201011  ,-2.18  ,-0.79   ,1.55  ,-3.69  ,-1.24   ,0.92
201012   ,9.38   ,9.09  ,10.50   ,9.27   ,7.78   ,8.30
201101   ,3.56   ,3.36   ,3.49   ,3.71   ,1.41   ,0.51
201102   ,2.56   ,3.55   ,4.61   ,3.58   ,3.45   ,4.13
201103  ,-0.66   ,0.37  ,-0.71  ,-0.64   ,0.36   ,1.05
201104   ,3.61   ,3.49   ,4.90   ,3.23   ,4.45   ,5.22
201105  ,-4.16  ,-2.24  ,-3.04  ,-2.32  ,-1.75  ,-1.91
201106  ,-4.05  ,-0.86  ,-2.63  ,-2.74  ,-1.44  ,-1.07
201107   ,0.26   ,1.78   ,2.20  ,-3.41  ,-1.98  ,-1.56
201108  ,-8.47  ,-5.77  ,-7.47  ,-7.51  ,-6.78  ,-8.99
201109 ,-11.06  ,-8.61 ,-12.34  ,-9.39  ,-9.04 ,-12.82
201110   ,7.38   ,5.92   ,6.85  ,10.71   ,9.91  ,10.27
201111  ,-7.00  ,-3.31  ,-3.36  ,-4.58  ,-2.55  ,-1.66
201112  ,-1.91  ,-0.35  ,-0.19  ,-1.66  ,-0.82  ,-0.65
201201  ,11.37   ,6.70   ,6.72  ,11.73   ,5.60   ,3.51
201202   ,7.85   ,3.91   ,3.53   ,7.22   ,4.88   ,3.90
201203  ,-1.32   ,1.64   ,1.90  ,-0.62   ,0.99   ,2.03
201204  ,-3.03  ,-0.26   ,1.60  ,-3.76  ,-0.67   ,1.29
201205 ,-12.87  ,-7.77  ,-8.65 ,-13.80  ,-9.13  ,-6.78
201206   ,1.18   ,2.92   ,3.43   ,4.90   ,4.13   ,3.89
201207  ,-0.95  ,-0.56   ,0.60  ,-1.77   ,1.10   ,1.30
201208   ,3.40   ,2.07   ,2.00   ,4.08   ,2.81   ,3.00
201209   ,4.57   ,2.91   ,3.77   ,3.71   ,2.77   ,2.90
201210  ,-0.25  ,-0.87   ,0.66   ,0.25   ,0.19   ,0.08
201211  ,-1.49   ,0.04   ,0.75   ,0.81   ,1.87   ,1.39
201212   ,3.81   ,3.21   ,3.15   ,4.67   ,2.52   ,2.09
201301   ,7.70   ,5.92   ,7.67   ,5.53   ,5.54   ,6.13
201302  ,-2.39   ,0.45   ,1.68  ,-1.66   ,1.17   ,1.40
201303  ,-0.99   ,2.76   ,4.16   ,1.10   ,2.79   ,3.92
201304  ,-1.60   ,2.42   ,3.84   ,2.03   ,2.98   ,3.57
201305  ,-1.41  ,-0.89  ,-1.02   ,1.83   ,0.21  ,-0.02
201306  ,-4.82  ,-2.23  ,-3.49  ,-3.32  ,-1.71  ,-2.59
201307   ,6.44   ,5.57   ,7.32   ,5.14   ,5.87   ,6.97
201308   ,2.48   ,0.19   ,0.46  ,-0.73  ,-1.99  ,-2.21
201309   ,7.01   ,7.88   ,9.36   ,5.19   ,5.89   ,8.09
201310   ,2.45   ,3.45   ,3.42   ,2.92   ,3.66   ,3.61
201311  ,-0.56   ,1.59   ,3.36  ,-0.02   ,1.84   ,2.14
201312   ,0.89   ,1.69   ,2.39   ,1.75   ,2.26   ,2.75
201401   ,2.54   ,1.44   ,1.90  ,-2.62  ,-3.35  ,-1.84
201402   ,3.48   ,3.08   ,4.30   ,5.09   ,5.27   ,6.42
201403   ,0.04   ,1.13   ,0.28   ,0.91   ,0.29  ,-1.70
201404  ,-1.01  ,-0.34  ,-2.34   ,1.87  ,-0.21  ,-2.57
201405  ,-0.35   ,0.53   ,0.89   ,1.30   ,1.97   ,1.64
201406   ,3.27   ,3.54   ,3.59   ,2.68   ,2.53   ,2.88
201407   ,0.06  ,-0.39  ,-0.02  ,-2.63  ,-2.87  ,-2.92
201408   ,0.47   ,0.82   ,1.72   ,1.64   ,1.78   ,2.20
201409  ,-6.10  ,-4.16  ,-3.98  ,-4.62  ,-3.89  ,-3.98
201410  ,-3.99  ,-1.67  ,-2.57  ,-0.15   ,1.48  ,-0.50
201411  ,-2.29  ,-0.71  ,-0.56   ,1.00   ,1.54   ,1.63
201412  ,-3.51  ,-0.21  ,-1.47  ,-1.89  ,-0.66  ,-0.61
201501  ,-3.56  ,-0.94  ,-1.07  ,-3.76  ,-1.02   ,0.94
201502   ,4.82   ,3.73   ,4.21   ,8.17   ,5.97   ,5.21
201503  ,-2.22   ,0.31   ,0.94  ,-1.83  ,-0.28   ,0.18
201504   ,7.34   ,5.55   ,7.75   ,5.29   ,1.98   ,0.44
201505   ,0.10   ,1.15   ,4.02  ,-1.93   ,1.13   ,2.30
201506  ,-0.91   ,0.71   ,0.28  ,-3.47  ,-1.74  ,-0.69
201507  ,-3.03  ,-0.52  ,-2.84  ,-3.43   ,1.54   ,1.95
201508  ,-4.56  ,-3.57  ,-6.20  ,-5.38  ,-5.47  ,-5.82
201509  ,-4.35  ,-1.87  ,-1.04  ,-7.41  ,-3.06  ,-3.35
201510   ,5.57   ,4.34   ,4.54   ,8.45   ,6.48   ,5.48
201511  ,-2.70   ,0.23   ,1.58  ,-1.44   ,0.10   ,0.66
201512  ,-2.23   ,0.85   ,1.16  ,-4.24  ,-1.46  ,-0.65
201601  ,-7.68  ,-6.42  ,-7.14  ,-7.48  ,-6.81  ,-6.87
201602   ,2.25   ,0.78   ,0.07   ,1.95  ,-0.12  ,-0.89
201603  ,11.02   ,7.31   ,8.06   ,9.25   ,7.06   ,6.60
201604   ,6.72   ,4.81   ,4.55   ,4.75   ,1.85   ,0.64
201605  ,-1.98  ,-1.07   ,0.10  ,-1.71   ,0.31   ,1.99
201606  ,-3.50  ,-0.86   ,0.51  ,-5.94  ,-2.70   ,0.89
201607   ,5.59   ,4.57   ,6.30   ,6.73   ,5.01   ,3.81
201608   ,1.90   ,1.24   ,0.59   ,2.56   ,0.21  ,-1.86
201609   ,3.27   ,3.46   ,4.82   ,0.58   ,1.13   ,2.00
201610  ,-1.46  ,-0.92  ,-2.07  ,-2.09  ,-1.82  ,-3.12
201611   ,0.81   ,0.23  ,-1.28   ,3.39   ,1.40   ,0.00
201612   ,1.53   ,2.36   ,1.15   ,2.56   ,1.99   ,1.12
201701   ,5.69   ,5.16   ,8.07   ,3.06   ,3.03   ,3.79
201702   ,1.54   ,1.78   ,2.26   ,2.61   ,1.71   ,0.75
201703   ,1.68   ,2.14   ,1.27   ,1.61   ,1.93   ,1.49
201704   ,0.03   ,1.85   ,0.68   ,2.16   ,2.69   ,2.21
201705   ,0.27   ,2.71   ,2.31   ,2.04   ,2.42   ,1.63
201706   ,1.56   ,3.19   ,2.29   ,0.79   ,1.20   ,0.77
201707   ,3.05   ,3.84   ,4.38   ,1.91   ,2.34   ,3.50
201708  ,-0.33   ,0.58   ,1.45  ,-0.90   ,0.51   ,0.32
201709   ,3.29   ,3.22   ,3.68   ,2.60   ,2.51   ,2.84
201710   ,0.78   ,1.38   ,2.52   ,0.47   ,1.77   ,2.88
201711   ,2.41   ,2.17   ,3.03   ,2.25   ,2.18   ,1.64
201712   ,3.36   ,2.58   ,3.98   ,3.12   ,1.42   ,0.85
201801   ,5.81   ,5.50   ,7.64   ,3.76   ,4.71   ,6.05
201802  ,-4.36  ,-2.63  ,-3.09  ,-4.41  ,-3.69  ,-3.15
201803  ,-1.12  ,-0.07  ,-1.30  ,-0.57  ,-0.74  ,-0.75
201804  ,-0.26  ,-0.41  ,-0.96   ,1.60   ,0.65   ,0.64
201805   ,0.09   ,0.19   ,0.39  ,-0.56  ,-0.10   ,2.63
201806  ,-2.75  ,-1.50  ,-2.57   ,0.38  ,-0.99  ,-0.98
201807  ,-0.08   ,0.02   ,0.43   ,2.20   ,2.10   ,1.13
201808  ,-1.47  ,-0.71   ,0.34  ,-0.84   ,0.21   ,3.18
201809  ,-0.44  ,-0.41  ,-0.27   ,0.07  ,-0.04   ,0.02
201810  ,-9.66  ,-7.18 ,-10.04  ,-8.62  ,-8.24 ,-10.40
201811  ,-0.81  ,-0.25  ,-0.90   ,1.75   ,1.37  ,-1.02
201812  ,-9.10  ,-6.09  ,-6.78  ,-8.86  ,-6.81  ,-6.96
201901   ,9.47   ,5.36   ,6.70  ,11.06   ,8.02   ,7.58
201902   ,2.21   ,2.04   ,1.92   ,3.35   ,2.92   ,3.29
201903  ,-1.03  ,-0.61   ,0.45  ,-1.76   ,0.42   ,1.69
201904   ,1.82   ,1.32   ,1.72   ,5.66   ,3.05   ,1.85
201905  ,-5.85  ,-3.05  ,-2.04 ,-10.33  ,-5.36  ,-2.36
201906   ,2.58   ,3.22   ,3.89   ,7.29   ,5.75   ,5.70
201907   ,0.04  ,-0.64   ,0.08  ,-0.51  ,-0.40   ,0.50
201908  ,-4.78  ,-2.64  ,-2.40  ,-6.13  ,-2.07  ,-1.12
201909   ,2.62   ,1.54   ,1.08   ,4.65   ,2.66  ,-0.33
201910   ,1.40   ,3.13   ,2.91   ,3.51   ,3.05   ,1.73
201911   ,0.89   ,1.51   ,1.98   ,3.52   ,2.27   ,3.10
201912   ,5.27   ,4.82   ,5.30   ,3.45   ,2.84   ,2.86
202001  ,-1.71  ,-1.45  ,-0.28  ,-4.35  ,-1.86   ,0.04
202002  ,-8.99  ,-9.76 ,-11.35  ,-9.01  ,-9.13  ,-8.05



  Average Value Weighted Returns -- Annual
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
1991  ,15.91  ,17.46  ,34.60  ,15.24  ,14.76  ,22.73
1992 ,-13.54  ,-4.48   ,3.00  ,-5.88  ,-6.87  ,-4.77
1993  ,31.66  ,29.40  ,35.56  ,14.78  ,19.19  ,26.46
1994   ,6.03   ,9.83   ,8.96   ,3.96   ,5.61   ,7.31
1995   ,7.95  ,13.89  ,23.87  ,16.59  ,19.03  ,20.04
1996   ,7.23  ,11.67  ,14.76   ,7.73  ,14.14  ,14.48
1997 ,-16.19   ,3.35  ,12.96   ,3.07  ,16.35  ,21.45
1998  ,-2.27   ,3.11  ,14.08  ,15.13  ,19.49  ,31.58
1999  ,16.23  ,12.63  ,73.33  ,13.65  ,14.68  ,56.78
2000  ,-8.62   ,2.77 ,-16.55  ,-3.76  ,-4.98 ,-31.26
2001 ,-11.09   ,1.56   ,0.88 ,-25.61 ,-12.73 ,-12.67
2002 ,-27.94  ,-2.49   ,4.74 ,-29.50 ,-14.95  ,-6.34
2003  ,75.15  ,50.28  ,61.28  ,47.41  ,28.71  ,32.71
2004  ,22.74  ,29.90  ,29.10  ,15.96  ,15.98  ,16.83
2005   ,4.70  ,18.53  ,30.32   ,5.64  ,11.13  ,22.28
2006  ,12.64  ,18.41  ,21.48  ,21.68  ,21.46  ,18.23
2007  ,-6.14   ,4.22  ,15.58   ,2.94  ,12.73  ,16.93
2008 ,-50.81 ,-38.28 ,-41.09 ,-48.50 ,-36.68 ,-39.68
2009  ,89.81  ,33.81  ,18.52  ,57.51  ,31.03  ,14.24
2010  ,16.01  ,25.35  ,33.05   ,9.41  ,11.57  ,21.65
2011 ,-20.27  ,-6.02  ,-9.72 ,-10.91  ,-3.20  ,-8.26
2012  ,11.39  ,15.76  ,21.15  ,15.09  ,15.40  ,19.09
2013  ,18.18  ,33.28  ,45.19  ,20.31  ,29.02  ,35.49
2014  ,-5.27   ,0.60  ,-1.59   ,2.81   ,4.90   ,2.68
2015  ,-8.82   ,6.51   ,8.85  ,-9.87   ,1.99   ,4.28
2016  ,18.67  ,13.68   ,8.24  ,12.59   ,7.10   ,2.82
2017  ,19.08  ,26.67  ,32.63  ,20.73  ,23.86  ,27.40
2018 ,-18.57 ,-14.65 ,-16.15 ,-12.97  ,-8.02  ,-5.81
2019  ,20.00  ,19.81  ,24.98  ,25.38  ,28.61  ,26.12



  Average Equal Weighted Returns -- Annual
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
1991  ,23.43  ,19.07  ,40.08  ,13.17  ,13.80  ,20.53
